developer_researcher,stage_of_development,product_category,country_name,ioc_country_code,date_last_updated,anticipated_next_steps,funder
AbVision,Pre-clinical,Unknown,United States,USA,5/13/2020,Unknown,Unknown
AdaptVac (PREVENT-nCoV consortium),Phase I/II,Protein subunit,Denmark,DEN,5/14/2021,"Phase I/II (COUGH-1) study began March 2021, initial results expected to be released in July 2021; Pre-clinical data published January 2021",European Commission (Horizon 2020 Program)
Adeleke University,Pre-clinical,Unknown,Nigeria,NGR,6/30/2020,Unknown,Unknown
Adimmune Corporation,Phase I,Protein subunit,Chinese Taipei,TPE,9/2/2020,Phase I began end of August 2020; Phase II expected to begin November 2020,Unknown
"Aivita Biomedical, Inc./ National Institute of Health Research and Development, Ministry of Health Republic of Indonesia",Phase I,Replicating viral vector,Indonesia,INA,1/31/2021,Phase I/II expected to begin February 2021; Phase I began December 2020,Unknown
AJ Vaccines,Pre-clinical,Protein subunit,Denmark,DEN,Prior to 4/20/2020,Unknown,Unknown
"Anhui Zhifei Longcom Biopharmaceutical/ Institute of Microbiology, Chinese Academy of Sciences",Phase III,Protein subunit,China,CHN,4/30/2021,"China and Uzbekistan granted ""emergency use"" approval in March 2021; Phase III began December 2020; Phase I and II safety and immunogenicity data released December 2020; Phase II began July 2020; Received approval to launch clinical trials in China in June 2020",Unknown
Ankara University,Pre-clinical,Non-replicating viral vector,Turkey,TUR,7/9/2020,Unknown,Unknown
AnyGo Technology,Pre-clinical,Protein subunit,China,CHN,5/4/2020,Unknown,Unknown
"Applied Biotechnology Institute, Inc.",Pre-clinical,Protein subunit,United States,USA,5/12/2020,Unknown,Unknown
Arcturus/Duke-NUS/ Catalent,Phase II,RNA-based vaccine,United States,USA,8/3/2021,"Phase IIa of Phase I/II trial began recruiting January 2021; Received approval to proceed with Phase II study in Singapore (December 2020) and the US (January 2021); Phase I/II interim data released December 2020; Pre-clinical results released September and December 2020; Phase I/II began August 2020, initial results expected Q4 2020; Received approval to launch clinical trials in Singapore end of July 2020",Unknown
Arizona State University,Pre-clinical,Virus-like particle,United States,USA,2/12/2021,Unknown,Unknown
Arizona State University,Pre-clinical,Virus-like particle,United States,USA,2/12/2021,Unknown,Unknown
ARTES Biotechnology,Pre-clinical,Virus-like particle,Germany,GER,5/4/2020,Unknown,Unknown
AstraZeneca,Phase II/III,Non-replicating viral vector,Great Britain,GBR,7/29/2021,"Phase II/III dosed end of June 2021, in both previously vaccinated (with two doses of Vaxzevria or an mRNA vaccine) and unvaccinated adults to determine the safety and immunogenicity of AZD2816, a vaccine for the prevention of COVID-19 caused by variant strains of the SARS-CoV-2 virus",Unknown
Aurobindo,Pre-clinical,Replicating viral vector,India,IND,7/15/2020,Unknown,Unknown
Axon Neuroscience SE,Pre-clinical,Protein subunit,Slovakia,SVK,11/16/2020,Pre-clinical results released September 2020,Unknown
Baiya Phytopharm/ Chula Vaccine Research Center,Pre-clinical,Protein subunit,Thailand,THA,6/30/2021,Phase I expected to begin August 2021; Animal trial results announced September 2020,Unknown
Baylor College of Medicine,Pre-clinical,Protein subunit,United States,USA,Prior to 4/20/2020,Unknown,Unknown
Beijing Institute of Biological Products/ Sinopharm,Phase III,Inactivated virus,China,CHN,6/8/2021,"Vietnam granted approval on 6/4/2021; World Health Organization (WHO) granted Emergency Use Listing (EUL) on 5/7/2021; Indonesia granted ""emergency use"" approval on 4/30/2021; Hungary granted ""emergency use"" approval on 1/29/2021; Pakistan granted ""emergency use authorization"" on 1/18/2021; China ""granted conditional market approval"" on 12/31/2020; Midterm clinical results released on 12/30/2020; Bahrain National Health Regulatory Authority (NHRA) ""approved"" on 12/13/2020; UAE Ministry of Health and Prevention (MOHAP) announced ""official registration"" on 12/9/2020, following review of Phase III interim analysis; Phase I/II results published October 2020; Phase III trial began July 2020; Received early approval for ""emergency use"" in China (Aug 2020) and the UAE (Sep 2020)",Unknown
Bezmialem Vakif University,Pre-clinical,Virus-like particle,Turkey,TUR,7/21/2020,Unknown,Unknown
Bharat Biotech International Limited,Phase I,Non-replicating viral vector,India,IND,3/28/2021,Phase I began March 2021,Unknown
